###
# RoG, CIP1,CIP2,CIP3 RoG (remove these lines before starting to cluster)
###
77 10.155656,943.858862,1052.626592,1418.630656 10.155656
78 10.128623,975.366673,1062.425737,1415.887945 10.128623
79 10.118199,959.614287,1085.091261,1411.093840 10.118199
80 9.809260,1030.352153,1274.027448,1525.773044 9.809260
81 9.681526,1064.282759,1234.217633,1524.824959 9.681526
82 9.367407,1139.395449,1337.936017,1630.882472 9.367407
83 9.514773,1115.434201,1249.595102,1573.754822 9.514773
84 9.467279,1128.382443,1288.625777,1587.121500 9.467279
85 9.589217,1106.575415,1250.028858,1571.236003 9.589217
86 9.686671,1080.456217,1198.380727,1543.942033 9.686671
87 9.754712,1107.015919,1222.236636,1547.137104 9.754712
88 9.750008,1074.176329,1157.845401,1485.358345 9.750008
89 9.842531,1033.630022,1152.561164,1480.561774 9.842531
90 9.687121,1050.431931,1219.809391,1521.707187 9.687121
91 9.735796,1036.231338,1205.259186,1517.769720 9.735796
92 9.696173,1051.062655,1250.443822,1512.523957 9.696173
93 9.740323,1052.995487,1215.843024,1499.457142 9.740323
94 9.622377,1078.307527,1236.993052,1511.560377 9.622377
95 9.622446,1088.852490,1256.832378,1519.774603 9.622446
96 9.696718,1076.343289,1152.217147,1502.503111 9.696718
97 9.757723,1065.278464,1112.611509,1478.251233 9.757723
98 9.613235,1110.470504,1196.699369,1515.992094 9.613235
99 9.485738,1110.803082,1249.926122,1568.343968 9.485738
100 9.439576,1130.704010,1210.463371,1548.788016 9.439576
101 9.526266,1131.841649,1249.557938,1571.013282 9.526266
102 9.585651,1091.697529,1222.293241,1552.268703 9.585651
103 9.497315,1138.045298,1205.615817,1556.535226 9.497315
104 9.481092,1139.129817,1282.535720,1585.125091 9.481092
105 9.538819,1168.080675,1265.727336,1582.662945 9.538819
106 10.064317,948.661032,1117.529842,1421.765516 10.064317
107 9.985093,954.843353,1153.185245,1426.296262 9.985093
108 9.715606,1108.422542,1219.387375,1579.907166 9.715606
109 9.567747,1114.292904,1253.895995,1608.062337 9.567747
110 9.357108,1145.272688,1320.839651,1654.244112 9.357108
111 9.289880,1190.549610,1312.762537,1668.475374 9.289880
112 9.364992,1152.797841,1251.892670,1630.816751 9.364992
113 9.352965,1149.354415,1260.732677,1625.277303 9.352965
